Src,Eqid,Version,Lat,Lon,Magnitude,Depth,NST,Region
nc,71917511,2,38.952,-122.7583,2.2,5,47,Northern California
ak,10633179,1,63.1883,-151.2325,1.6,16.3,7,Central Alaska
nc,71917506,0,38.9627,-122.7487,1.6,6.6,8,Northern California
nc,71917501,3,38.955,-122.7535,2.5,3,49,Northern California
ci,15271265,2,34.107,-116.9413,1,7.6,43,Southern California
uw,60490287,1,49.4458,-120.488,2.5,0,9,"British Columbia, Canada"
nc,71917486,4,37.417,-118.3213,2.6,8.1,45,Central California
mb,13370164,2,44.7708,-111.9693,1,10.2,12,western Montana
nc,71917466,3,37.4228,-118.3297,3.2,7.6,47,Central California
nc,71917446,2,36.5418,-121.0543,1.2,8.5,9,Central California
ak,10633150,1,61.9349,-150.5577,1.7,36,13,Southern Alaska
nc,71917421,1,38.8082,-122.7922,1.2,2.5,25,Northern California
nc,71917431,2,38.8097,-122.7938,1.2,2,27,Northern California
ak,10633139,1,64.9482,-148.893,1.5,0.1,9,Central Alaska
nc,71917416,0,38.7388,-122.7257,1.4,2.9,16,Northern California
ak,10633132,2,51.6017,-178.3629,2.8,2.9,12,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71917406,3,37.1535,-118.09,2,3.9,14,Central California
ak,10633123,1,59.986,-140.5862,2.7,5.7,15,Southeastern Alaska
ak,10633119,1,61.1908,-151.4203,1.6,72,6,Southern Alaska
ci,15271201,2,34.0045,-117.5917,1.3,4.8,31,"Greater Los Angeles area, California"
ak,10633115,2,58.8517,-153.4216,2.3,63.4,24,"Kodiak Island region, Alaska"
nc,71917391,0,38.8273,-122.8522,1.2,2.1,17,Northern California
nc,71917386,1,38.8267,-122.8527,1.4,2.5,22,Northern California
ak,10633108,1,64.8994,-147.2714,1,13.3,9,Central Alaska
nc,71917381,0,38.7493,-122.719,1,3,13,Northern California
ak,10633095,1,64.0776,-148.1725,1.8,108.1,24,Central Alaska
us,2013kdas,A,15.4046,-104.9858,4.3,40,64,"off the coast of Michoacan, Mexico"
nc,71917366,0,39.658,-120.1083,1.5,0.5,11,Northern California
nc,71917356,3,38.7558,-122.7217,2.1,1.4,61,Northern California
nc,71917336,0,38.755,-122.7237,1.2,1.1,14,Northern California
nc,71917316,2,38.7508,-122.7253,1.6,2.8,32,Northern California
nc,71917306,5,38.7602,-122.7243,3,1.6,76,Northern California
nc,71917296,0,38.7555,-122.7232,1.2,2.4,8,Northern California
nc,71917281,0,38.7553,-122.7253,1.1,1.6,14,Northern California
nc,71917276,0,38.7612,-122.7242,1,0.1,15,Northern California
ak,10633063,2,56.008,-135.4542,4,10,16,Southeastern Alaska
nc,71917231,1,38.8243,-122.8255,2,2.4,34,Northern California
